,release_speed,release_pos_x,release_pos_z,batter,pitcher,zone,hit_location,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,outs_when_up,inning,hc_x,hc_y,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,home_score,away_score,opp_hand,x0_CH,x0_CU,x0_EP,x0_FC,x0_FF,x0_FS,x0_FT,x0_KC,x0_SI,x0_SL,HitClf
3571,94.5,-2.62,5.17,608365,656427,5.0,8.0,3,2,-0.62,1.1,-0.2,2.75,0,2,154.29,88.54,7.78280593050293,-137.638938598772,-3.1996134928302,-9.636308382181051,27.533286909885202,-17.4328027436229,3.47,1.64,273.0,97.2,15.0,95.9,2152.0,6.8,566596,53.67,0.752,0.74,0.9,1.0,1.0,0.0,4.0,11,7,1,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
3572,93.5,-2.57,5.29,518792,656427,6.0,,1,1,-0.44,1.23,0.4,2.59,0,2,239.81,76.57,8.68599148762927,-136.025111405962,-4.02801487030937,-7.21336460239462,26.387124630317196,-16.011142779476,3.52,1.69,391.0,99.9,29.0,94.6,2385.0,6.7,566596,53.84,0.675,1.23,2.0,1.0,0.0,3.0,6.0,10,3,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
3573,95.8,-2.8,5.05,575929,656427,13.0,2.0,1,2,-0.56,1.08,-0.88,2.29,2,1,,,6.5656228635244505,-139.62743089271999,-4.38377122773197,-9.03258832402069,27.9203930926346,-16.6202179493506,3.3,1.47,,,,98.7,2278.0,7.6,566596,52.94,,,0.0,1.0,0.0,0.0,,4,4,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3574,87.2,-2.79,5.2,519203,656427,5.0,,0,1,-0.92,0.51,-0.08,2.41,2,1,144.01,21.11,8.45289449520205,-126.795486361805,-1.6457368847123601,-11.6203120431128,23.7397935322648,-26.4497691027035,3.53,1.72,421.0,105.6,23.0,87.8,1523.0,6.5,566596,53.95,0.965,1.785,2.0,1.0,0.0,3.0,6.0,3,2,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3575,96.2,-2.78,5.2,592178,656427,3.0,2.0,0,2,-0.56,1.16,0.33,2.96,1,1,,,9.55262321585549,-139.854923451165,-3.0676939732302,-9.379921445525769,29.277681061636898,-16.2524442469895,3.11,1.53,,,,96.8,2291.0,6.5,566596,53.95,,,0.0,1.0,0.0,0.0,,2,3,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3576,94.7,-2.73,5.28,656941,656427,5.0,8.0,2,1,-0.57,1.05,0.24,2.55,0,1,81.47,62.27,9.06594804989503,-137.734448063571,-3.89677198170325,-9.120356227003231,26.8544771642908,-17.9432558642789,3.29,1.58,333.0,100.5,43.0,95.7,2249.0,6.6,566596,53.9,0.12,0.214,0.0,1.0,0.0,0.0,3.0,1,4,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3577,101.8,-2.3,6.24,592178,663855,2.0,5.0,2,2,-1.29,0.54,0.17,2.95,2,10,111.51,172.54,10.0811925762086,-147.957806681715,-5.329829026435941,-21.3333304217788,32.0358173417651,-23.1193815554218,3.22,1.57,4.0,77.7,-51.0,102.5,1894.0,6.5,566595,53.99,0.13,0.131,0.0,1.0,0.0,0.0,2.0,70,5,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3578,102.5,-2.11,6.36,656941,663855,3.0,2.0,2,2,-1.25,0.89,0.67,2.97,1,10,,,10.933323665078099,-148.915692229698,-6.51509379210041,-21.3350728984398,33.2519434746301,-17.5277110740921,3.32,1.58,,,,103.1,2042.0,6.6,566595,53.95,,,0.0,1.0,0.0,0.0,,69,6,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3579,94.6,-2.59,6.3,546991,663855,14.0,2.0,1,2,-0.61,-0.22,0.18,0.44,0,10,,,8.51841525531923,-137.35503434825,-9.114064964977489,-9.38976421399066,26.978166464688,-33.3599286804739,3.37,1.55,,,,94.4,934.0,6.0,566595,54.46,,,0.0,1.0,0.0,0.0,,67,4,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3580,104.3,-2.52,6.24,605170,663855,5.0,6.0,0,0,-1.33,0.98,0.19,2.3,2,9,128.78,165.94,11.019527359793999,-151.22766293049,-8.503707787360211,-23.081617263541002,36.2826448412819,-15.349045808382002,3.41,1.56,,82.9,-21.0,103.9,2153.0,6.3,566595,54.24,0.052000000000000005,0.047,0.0,1.0,0.0,0.0,2.0,63,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3581,103.2,-2.42,6.23,608365,663855,7.0,5.0,2,1,-1.38,0.92,-0.49,2.16,1,9,106.43,167.97,8.84518060063541,-149.852195093889,-8.55193186532985,-22.9128371772795,36.6631868169199,-16.532175327541598,3.47,1.63,4.0,86.5,-41.0,103.0,2173.0,6.3,566595,54.19,0.057,0.057,0.0,1.0,0.0,0.0,2.0,62,4,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3582,104.0,-2.24,6.45,595879,663855,11.0,6.0,1,2,-1.49,0.77,-1.07,2.92,0,9,117.61,159.84,6.97011547716196,-151.129411315389,-6.82397261108793,-24.438632146368498,35.9902657609694,-18.9672338939341,3.38,1.6,10.0,75.8,-18.0,103.7,2040.0,6.2,566595,54.32,0.068,0.07400000000000001,0.0,1.0,0.0,0.0,2.0,60,4,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
3583,98.9,-0.96,5.47,519203,593372,9.0,6.0,3,2,-0.65,1.07,0.34,2.06,2,8,137.92,150.19,4.936740974987679,-143.738315828424,-6.215110726989349,-9.92820759571316,30.8333922946906,-16.6399026554143,3.53,1.7,8.0,65.8,-17.0,97.7,2054.0,5.5,566595,54.97,0.065,0.06,0.0,1.0,0.0,0.0,2.0,56,7,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
3584,86.9,-1.26,5.2,592178,593372,8.0,2.0,0,2,0.41,0.42,-0.15,1.91,1,8,,,1.8012361995631299,-126.219138202412,-2.4374331737088397,3.7599688429094904,26.990084952878103,-27.678895699041902,3.22,1.57,,,,84.5,2219.0,4.9,566595,55.57,,,0.0,1.0,0.0,0.0,,55,3,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
